episode,return_prisoner,return_guards_mean,outcome,length
205,1.0,1.0,captured,11
206,1.0,1.0,captured,11
207,-1.0,-1.0,escaped,5
208,1.0,1.0,captured,8
209,1.0,1.0,captured,14
210,1.0,1.0,captured,7
211,1.0,1.0,captured,7
212,1.0,1.0,captured,9
213,1.0,1.0,captured,5
214,1.0,1.0,captured,9
215,1.0,1.0,captured,11
216,1.0,1.0,captured,24
217,1.0,1.0,captured,8
218,1.0,1.0,captured,8
219,-1.0,-1.0,escaped,4
220,1.0,1.0,captured,25
221,1.0,1.0,captured,10
222,1.0,1.0,captured,10
223,1.0,1.0,captured,15
224,1.0,1.0,captured,9
225,1.0,1.0,captured,15
226,1.0,1.0,captured,8
227,1.0,1.0,captured,14
228,1.0,1.0,captured,11
229,1.0,1.0,captured,12
230,1.0,1.0,captured,18
231,1.0,1.0,captured,8
232,1.0,1.0,captured,13
233,1.0,1.0,captured,6
234,1.0,1.0,captured,9
235,1.0,1.0,captured,9
236,1.0,1.0,captured,5
237,1.0,1.0,captured,10
238,1.0,1.0,captured,3
239,1.0,1.0,captured,9
240,1.0,1.0,captured,20
241,1.0,1.0,captured,9
242,1.0,1.0,captured,10
243,1.0,1.0,captured,18
244,1.0,1.0,captured,24
245,1.0,1.0,captured,11
246,1.0,1.0,captured,9
247,1.0,1.0,captured,3
248,1.0,1.0,captured,11
249,1.0,1.0,captured,12
250,1.0,1.0,captured,11
251,-1.0,-1.0,escaped,8
252,1.0,1.0,captured,12
253,1.0,1.0,captured,11
254,1.0,1.0,captured,11
255,1.0,1.0,captured,9
256,1.0,1.0,captured,10
257,-1.0,-1.0,escaped,10
258,1.0,1.0,captured,10
259,1.0,1.0,captured,11
260,1.0,1.0,captured,14
261,1.0,1.0,captured,9
262,-1.0,-1.0,escaped,6
263,1.0,1.0,captured,13
264,1.0,1.0,captured,13
265,1.0,1.0,captured,10
266,-1.0,-1.0,escaped,8
267,1.0,1.0,captured,13
268,1.0,1.0,captured,8
269,1.0,1.0,captured,12
270,1.0,1.0,captured,11
271,1.0,1.0,captured,12
272,1.0,1.0,captured,6
273,-1.0,-1.0,escaped,6
274,1.0,1.0,captured,10
275,-1.0,-1.0,escaped,5
276,1.0,1.0,captured,14
277,-1.0,-1.0,escaped,14
278,1.0,1.0,captured,10
279,1.0,1.0,captured,15
280,1.0,1.0,captured,18
281,1.0,1.0,captured,10
282,1.0,1.0,captured,7
283,1.0,1.0,captured,13
284,1.0,1.0,captured,8
285,-1.0,-1.0,escaped,2
286,1.0,1.0,captured,15
287,1.0,1.0,captured,12
288,1.0,1.0,captured,14
289,1.0,1.0,captured,13
290,-1.0,-1.0,escaped,16
291,1.0,1.0,captured,11
292,1.0,1.0,captured,12
293,-1.0,-1.0,escaped,6
294,1.0,1.0,captured,17
295,-1.0,-1.0,escaped,13
296,1.0,1.0,captured,13
297,1.0,1.0,captured,8
298,1.0,1.0,captured,13
299,1.0,1.0,captured,14
300,1.0,1.0,captured,12
301,1.0,1.0,captured,10
302,1.0,1.0,captured,18
303,1.0,1.0,captured,22
304,-1.0,-1.0,escaped,11
305,1.0,1.0,captured,10
306,1.0,1.0,captured,8
307,1.0,1.0,captured,8
308,1.0,1.0,captured,14
309,1.0,1.0,captured,12
310,1.0,1.0,captured,12
311,1.0,1.0,captured,12
312,1.0,1.0,captured,15
313,1.0,1.0,captured,9
314,-1.0,-1.0,escaped,5
315,1.0,1.0,captured,8
316,1.0,1.0,captured,13
317,1.0,1.0,captured,22
318,1.0,1.0,captured,10
319,-1.0,-1.0,escaped,7
320,1.0,1.0,captured,10
321,1.0,1.0,captured,8
322,-1.0,-1.0,escaped,7
323,1.0,1.0,captured,17
324,-1.0,-1.0,escaped,5
325,1.0,1.0,captured,10
326,1.0,1.0,captured,9
327,1.0,1.0,captured,8
328,1.0,1.0,captured,10
329,1.0,1.0,captured,9
330,1.0,1.0,captured,10
331,-1.0,-1.0,escaped,13
332,1.0,1.0,captured,10
333,1.0,1.0,captured,11
334,1.0,1.0,captured,9
335,1.0,1.0,captured,8
336,1.0,1.0,captured,13
337,-1.0,-1.0,escaped,14
338,1.0,1.0,captured,9
339,1.0,1.0,captured,11
340,-1.0,-1.0,escaped,5
341,1.0,1.0,captured,15
342,1.0,1.0,captured,11
343,1.0,1.0,captured,16
344,1.0,1.0,captured,12
345,-1.0,-1.0,escaped,7
346,1.0,1.0,captured,9
347,1.0,1.0,captured,16
348,1.0,1.0,captured,14
