timesteps,ep_return,ep_length
84,-1.762161135673523,21
244,-3.732048511505127,61
252,-3.2870664596557617,63
276,-3.926051378250122,69
304,-1.4177874326705933,15
308,-1.2663466930389404,14
328,-1.368149995803833,13
348,0.8335713744163513,11
396,-1.4258570671081543,12
404,-1.9419772624969482,24
428,-1.92152738571167,25
540,-6.251000881195068,114
564,-2.394113063812256,34
624,-3.2367866039276123,57
700,-4.266010284423828,74
724,-2.012662410736084,25
764,-1.6400189399719238,16
764,-3.0668301582336426,50
800,-1.3584308624267578,9
816,-1.9229214191436768,23
936,-5.289169788360596,99
1028,-1.7229206562042236,23
1092,-1.6451447010040283,16
1324,-3.635531187057495,58
1356,-7.800207614898682,135
1368,-7.649929046630859,151
1372,-1.382767677307129,12
1404,-7.8352460861206055,151
1412,-1.351369023323059,10
1460,-1.995755910873413,23
1468,-1.381733775138855,14
1520,-1.391711711883545,15
1536,-2.910330295562744,45
1596,-2.13356876373291,32
1612,-1.814913034439087,19
1668,-1.5225389003753662,14
1736,-1.408965826034546,17
1776,-5.524345874786377,93
1892,-5.41640043258667,93
1940,-3.3777554035186768,51
1960,-1.4193859100341797,17
1976,-5.48759651184082,95
1996,-1.5950247049331665,14
2016,-1.536437749862671,14
2032,-1.5986733436584473,14
2036,-1.416463851928711,10
2168,-2.6648545265197754,34
2200,-1.2930189371109009,8
2268,-6.973178386688232,123
2336,-1.4892504215240479,17
2384,-4.903262138366699,87
2448,-4.084745407104492,62
2568,-7.241709232330322,138
2604,-3.003643274307251,39
2616,-4.350278854370117,70
2652,-1.710614562034607,21
2784,-3.115694046020508,45
2800,-6.309956073760986,104
2804,-2.7486677169799805,38
2856,-1.555180549621582,14
2924,-2.3804237842559814,35
3080,-3.9963459968566895,69
3156,-1.6141088008880615,19
3220,-7.588611125946045,151
3284,-1.5893676280975342,16
3324,-2.979617118835449,42
3328,-1.4180810451507568,11
3376,-1.3960938453674316,12
3424,-1.3410638570785522,12
3460,-7.540217876434326,151
3488,-1.4623324871063232,16
3528,-7.777928829193115,151
3568,-1.9500946998596191,27
3628,-1.5883116722106934,15
3716,-3.124607801437378,47
3728,-1.9798747301101685,25
3796,-1.4629729986190796,20
3856,-1.5756021738052368,15
3928,-7.433703899383545,151
3940,-1.6515449285507202,21
4008,-1.6423614025115967,17
4016,-7.67216682434082,132
4056,-1.4490900039672852,12
4096,-1.796892523765564,20
4116,-3.016388177871704,47
4192,-2.0109939575195312,24
4212,-1.1588510274887085,5
4252,-1.3124525547027588,10
4316,-1.3566865921020508,16
4332,-7.420932769775391,151
4336,-3.4114394187927246,55
4372,-1.5475977659225464,14
4496,-2.6597132682800293,41
4504,-2.5095596313476562,33
4528,-1.2650566101074219,8
4660,-7.456310749053955,151
