rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_range,train/explained_variance,train/loss,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss
-4.771286487579346,99.92,16384,2304,7,1,,,,,,,,,,,
-4.871842861175537,100.0,32768,1302,25,2,0.2,-0.3293532133102417,0.01729627698659897,0.9852260947227478,-2.813319958373904,0.05645188385969959,0.060302734375,10,0.0059743817,0.0003,-0.004218798297006288
-4.823394298553467,100.16,49152,1139,43,3,0.2,0.07354646921157837,0.046322450041770935,0.9711501598358154,-2.7810989819467067,0.09173767608808703,0.03577880859375,20,0.0044774907,0.0003,-0.002130285359271511
-4.88739538192749,101.0,65536,1064,61,4,0.2,0.4109621047973633,0.04124604910612106,0.9508389234542847,-2.745406458992511,0.10406682247557911,0.049127197265625,30,0.0054877875,0.0003,-0.0028468434426031307
-4.875499248504639,101.0,81920,1034,79,5,0.2,0.561601459980011,0.025338847190141678,0.9289337396621704,-2.7019370360299946,0.1298031674392405,0.039947509765625,40,0.005036591,0.0003,-0.0022895872287335807
-4.659338474273682,97.84,98304,1004,97,6,0.2,0.6514573097229004,0.08316538482904434,0.9189541339874268,-2.6699733126908543,0.13449063682783163,0.035791015625,50,0.0042206226,0.0003,-0.0017813055408623768
-4.705503463745117,98.9,114688,993,115,7,0.2,0.6048804521560669,0.020809542387723923,0.9024508595466614,-2.6425040503032506,0.18380355252156733,0.03984375,60,0.0050594914,0.0003,-0.0017959859667826094
-4.781489372253418,100.12,131072,984,133,8,0.2,0.746045708656311,0.05572591722011566,0.8855878710746765,-2.6015416369773448,0.13337697780079907,0.03819580078125,70,0.004812177,0.0003,-0.0016343086943379603
-4.88789176940918,100.52,147456,971,151,9,0.2,0.7378709316253662,0.07413928210735321,0.8729490041732788,-2.5748738876543937,0.13957546961464687,0.033221435546875,80,0.004324424,0.0003,-0.0014767041808227076
-4.822309970855713,100.06,163840,966,169,10,0.2,0.7566125988960266,0.05921443551778793,0.8651029467582703,-2.5486750287935136,0.12727108746912563,0.0353759765625,90,0.0045330487,0.0003,-0.0013842498154190252
-4.743729591369629,99.18,180224,959,187,11,0.2,0.8125826120376587,0.046061959117650986,0.8532015085220337,-2.5302230269648134,0.10636954601068282,0.0488525390625,100,0.0052374247,0.0003,-0.002825718764506746
-4.701624870300293,98.96,196608,954,206,12,0.2,0.8289293050765991,0.07726214081048965,0.8447883129119873,-2.5053165562450888,0.09904090198615449,0.040924072265625,110,0.004678653,0.0003,-0.0016827299587021116
-4.858564376831055,100.16,212992,952,223,13,0.2,0.8129712343215942,0.06064821779727936,0.8285864591598511,-2.4710469817742706,0.10792481712414884,0.06824951171875,120,0.006679569,0.0003,-0.003942170289883506
