timesteps,ep_return,ep_length
404,-3.866403579711914,101
404,-4.104571342468262,101
404,-3.4355127811431885,101
404,-4.290555000305176,101
596,-2.791609764099121,48
808,-4.159160614013672,101
808,-3.8533191680908203,101
808,-4.600756645202637,101
1000,-3.708853244781494,101
1212,-4.5804924964904785,101
1212,-3.5965285301208496,101
1212,-4.584013938903809,101
1404,-4.118209362030029,101
1616,-3.4623847007751465,101
1616,-3.8205935955047607,101
1616,-3.5355114936828613,101
1624,-3.1835856437683105,55
2020,-4.217300891876221,101
2020,-4.888935089111328,101
2020,-4.463167667388916,101
2028,-4.251616477966309,101
2424,-3.353909969329834,101
2424,-4.826544284820557,101
2424,-4.318056106567383,101
2432,-3.6079022884368896,101
2828,-3.9255402088165283,101
2828,-4.007831573486328,101
2828,-4.188336372375488,101
2836,-4.149596691131592,101
3132,-4.174439430236816,76
3232,-4.543601036071777,101
3232,-4.194982528686523,101
3240,-3.52285099029541,101
3472,-3.2426047325134277,60
3536,-4.894737243652344,101
3636,-3.896329879760742,101
3644,-3.649672269821167,101
3876,-3.6317367553710938,101
3940,-4.056555271148682,101
4040,-4.326960563659668,101
4048,-4.123826503753662,101
4280,-4.203282356262207,101
4304,-3.298851728439331,66
4344,-3.5129148960113525,101
4452,-5.136974811553955,101
4640,-4.711122512817383,84
4684,-4.928076267242432,101
4748,-4.3901848793029785,101
4856,-3.6130974292755127,101
4964,-3.293469190597534,54
5044,-4.567039489746094,101
5088,-3.7520289421081543,101
5224,-5.087376594543457,92
5368,-4.535301685333252,101
5448,-3.7495338916778564,101
5492,-4.215602397918701,101
5628,-3.996443271636963,101
5716,-4.414922714233398,87
5752,-3.3300154209136963,65
5852,-4.024383544921875,101
5912,-4.154228210449219,71
6120,-4.289438724517822,101
6156,-4.7703657150268555,101
6256,-3.513485908508301,101
6316,-3.7740659713745117,101
6524,-3.7671658992767334,101
6560,-3.797255516052246,101
6648,-4.5482001304626465,83
6660,-4.161368370056152,101
6888,-3.7968876361846924,60
6928,-4.482183456420898,101
6964,-4.405017375946045,101
7064,-4.154494762420654,101
7272,-4.657650947570801,86
7292,-4.3274736404418945,101
7368,-4.025099754333496,101
7396,-4.32913875579834,83
