time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl
2601,1,16384,-14.806096076965332,6,347.23809523809524,,,,,,,,,,
1318,2,32768,-15.003701210021973,24,353.9318181818182,0.01723306487328955,0.0003,-0.012353288009762764,-1.381289245793596,0.47166895866394043,-0.002079217788832466,0.032708740234375,0.2,10,0.005956632
1128,3,49152,-15.748130798339844,43,374.62,0.042374539402408117,0.0003,0.013344768434762955,-1.3756034181918948,0.22672802209854126,-0.001285562746488722,0.024957275390625,0.2,20,0.0058680447
1055,4,65536,-16.30123519897461,62,388.4,0.05679499023281096,0.0003,0.01902705803513527,-1.3739568050019444,0.28750723600387573,-0.0024730636892854817,0.05751953125,0.2,30,0.0075749876
998,5,81920,-14.910654067993164,82,353.8,0.08440697693768015,0.0003,-0.0010420512408018112,-1.3749606971163302,0.19467312097549438,-0.002953496215013729,0.063232421875,0.2,40,0.009462461
970,6,98304,-14.430367469787598,101,340.02,0.11581975774861349,0.0003,0.0858994796872139,-1.3652163231745362,0.4182397723197937,-0.0022478367178791815,0.0490966796875,0.2,50,0.007197054
954,7,114688,-14.706398963928223,120,347.12,0.12473341093427734,0.0003,0.11588909476995468,-1.3633763744961471,0.4341590404510498,-0.0013916212997173716,0.02911376953125,0.2,60,0.004770607
942,8,131072,-14.339001655578613,138,340.18,0.15753443992580288,0.0003,0.04810820519924164,-1.3512299611698837,0.3441554307937622,-0.002948809855115542,0.053271484375,0.2,70,0.0061393306
929,9,147456,-14.784839630126953,158,350.98,0.12899686788587134,0.0003,0.04703071340918541,-1.322795590106398,0.4499794840812683,-0.002872173619198293,0.05987548828125,0.2,80,0.007353031
917,10,163840,-13.609244346618652,178,326.3,0.1348415876062063,0.0003,0.09998831152915955,-1.3233617475721986,0.5248672962188721,-0.002283633571369137,0.045367431640625,0.2,90,0.0065284558
914,11,180224,-13.393268585205078,196,324.44,0.21959695153600478,0.0003,0.10716354101896286,-1.3057485830504447,0.44086986780166626,-0.002519453373588476,0.076922607421875,0.2,100,0.007732173
911,12,196608,-14.8015775680542,215,355.36,0.16740511601310573,0.0003,0.08719707280397415,-1.298351805191487,0.5429623126983643,-0.0022311098331556424,0.074395751953125,0.2,110,0.008590126
908,13,212992,-15.766801834106445,234,377.04,0.1438752063040738,0.0003,0.04411238059401512,-1.2641337025910615,0.6090050935745239,-0.00349067678243955,0.08341064453125,0.2,120,0.008648904
903,14,229376,-15.94412612915039,253,380.42,0.12076420498888182,0.0003,0.15968473255634308,-1.265576377371326,0.6481930017471313,-0.0025934405564839837,0.0474365234375,0.2,130,0.006490728
896,15,245760,-15.682368278503418,274,378.38,0.1520903059572447,0.0003,-0.0031885597854852676,-1.2750111544970424,0.6662334203720093,-0.0012055770878760085,0.043341064453125,0.2,140,0.006336145
894,16,262144,-14.391103744506836,293,346.76,0.13186489288236772,0.0003,0.10748420655727386,-1.2552843884564937,0.6957899332046509,-0.0005766806943029223,0.031707763671875,0.2,150,0.0056958143
893,17,278528,-14.26623249053955,311,341.6,0.1656097702878469,0.0003,0.049748294055461884,-1.2098669746890665,0.5988047122955322,-0.0032026291173679056,0.064990234375,0.2,160,0.0066585997
892,18,294912,-15.007048606872559,330,360.04,0.1281518097854132,0.0003,0.12330878525972366,-1.2024359851609916,0.6960927844047546,-0.0021578496105121303,0.05113525390625,0.2,170,0.0060279425
888,19,311296,-15.366271018981934,350,373.58,0.10825263943370374,0.0003,0.0292283296585083,-1.201859972719103,0.7495033740997314,-0.0019630102401606564,0.048724365234375,0.2,180,0.005800601
886,20,327680,-14.584744453430176,369,357.36,0.12093423664191505,0.0003,0.07878469675779343,-1.0754300601081923,0.6755005121231079,-0.0016541184566449374,0.0548095703125,0.2,190,0.006925027
885,21,344064,-13.714705467224121,388,329.7,0.1503061524752411,0.0003,0.0275005791336298,-1.1165189032442868,0.6206611394882202,-0.0021532892807044845,0.04752197265625,0.2,200,0.006276943
885,22,360448,-14.57128620147705,407,354.36,0.1257643364617252,0.0003,0.04336780309677124,-1.065458581969142,0.6693575978279114,-0.002271645207565598,0.05277099609375,0.2,210,0.0056882473
883,23,376832,-14.809617042541504,426,363.88,0.13538523754941706,0.0003,0.04136108607053757,-1.0073204715037718,0.630780816078186,-0.0014703733714668487,0.04931640625,0.2,220,0.0056216745
879,24,393216,-14.226523399353027,447,355.8,0.14654611765981826,0.0003,0.06359931826591492,-1.0242562343599275,0.6359830498695374,-0.0031251133628757088,0.0628662109375,0.2,230,0.005813155
880,25,409600,-14.220207214355469,465,354.9,0.14905112589076452,0.0003,0.045159630477428436,-1.0064050449291244,0.5934558510780334,-0.0015627743188815657,0.055633544921875,0.2,240,0.00554204
