timesteps,ep_return,ep_length
201,-0.4537658989429474,201
402,-0.49806487560272217,201
603,-0.4413425326347351,201
804,-0.4939405620098114,201
1005,-0.4669495224952698,201
1206,-0.4739609360694885,201
1407,-0.4685116410255432,201
1608,-0.4683054983615875,201
1809,-0.4858289957046509,201
2010,-0.4625450074672699,201
2211,-0.4392164945602417,201
2412,-0.4535774886608124,201
2613,-0.4522128105163574,201
2814,-0.45158910751342773,201
3015,-0.4559849798679352,201
3216,-0.46500182151794434,201
3417,-0.39929962158203125,201
3618,-0.4641410708427429,201
3819,-0.4236953556537628,201
4020,-0.4459018111228943,201
4221,-0.36558353900909424,201
4422,-0.3019642233848572,201
4623,-0.45920562744140625,201
4824,-0.37474244832992554,201
5025,-0.4799254834651947,201
5226,-0.4493076801300049,201
5427,-0.3339594304561615,201
5628,-0.44751450419425964,201
5829,-0.39433884620666504,201
6030,-0.3481235206127167,201
