time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/explained_variance
5,0.19417376816272736,16384,2752,1,19.2,,,,,,,,,,,
25,0.20995357632637024,32768,1308,2,21.06,0.5345927799644414,0.0068889074,10,0.0003,-0.006886996680259471,-2.8123825547285377,0.27544111013412476,0.2,0.073187255859375,0.9829962253570557,-0.04347574710845947
42,0.6554751396179199,49152,1155,3,20.54,0.4651077437505592,0.008372988,20,0.0003,-0.008737864970771624,-2.785421274136752,0.39793893694877625,0.2,0.104345703125,0.9717555046081543,0.509701669216156
60,1.2410985231399536,65536,1091,4,19.96,0.493484112265287,0.009686198,30,0.0003,-0.010513164146959752,-2.7565275993198157,0.19564461708068848,0.2,0.125860595703125,0.9568065404891968,0.5761494636535645
76,1.4560705423355103,81920,1064,5,17.92,0.40269212081911976,0.0081548225,40,0.0003,-0.00821090376812208,-2.708812102675438,0.256641149520874,0.2,0.09515380859375,0.9336194396018982,0.634109616279602
94,1.9094082117080688,98304,1040,6,21.14,0.40663371831178663,0.0086181,50,0.0003,-0.007772799834219768,-2.663690584152937,0.17184828221797943,0.2,0.10264892578125,0.9142358303070068,0.6845415830612183
111,2.1149990558624268,114688,1032,7,20.0,0.4488047369464766,0.00890842,60,0.0003,-0.007793815950572025,-2.6235236893408,0.2609197795391083,0.2,0.103778076171875,0.8947750329971313,0.6861107349395752
5,2.189014434814453,131072,2911,1,38.5,0.4779570780112408,0.0066199666,70,0.0003,-0.005073478680606059,-2.597391009144485,0.17931890487670898,0.2,0.0761474609375,0.8853588104248047,0.6962236762046814
23,2.8082275390625,147456,1392,2,37.4,0.37790908686001784,0.0067762337,80,0.0003,-0.004479321229609923,-2.565265264548361,0.13975612819194794,0.2,0.07794189453125,0.8696039915084839,0.6629987359046936
40,3.4831888675689697,163840,1225,3,35.86,0.35161340234335514,0.007512264,90,0.0003,-0.005639061312558624,-2.526958489511162,0.1726427525281906,0.2,0.090008544921875,0.8537726402282715,0.6927406191825867
56,2.987727165222168,180224,1151,4,28.5,0.3381625384732615,0.0072431327,100,0.0003,-0.004812040435172094,-2.504937239922583,0.15717510879039764,0.2,0.085565185546875,0.8453831672668457,0.7247240543365479
75,2.697270154953003,196608,1078,5,29.86,0.2974991927796509,0.0063066026,110,0.0003,-0.0026749900831418926,-2.4747889298945664,0.09607113897800446,0.2,0.0708984375,0.8318126201629639,0.7591850757598877
93,3.0206334590911865,212992,1049,6,31.74,0.33307055081240833,0.0061744256,120,0.0003,-0.0031406736424287375,-2.4648435574024914,0.13744418323040009,0.2,0.069677734375,0.8295801281929016,0.7392668724060059
110,3.2334744930267334,229376,1040,7,28.78,0.2909689407562837,0.006074633,130,0.0003,-0.0030385253734493745,-2.442569919768721,0.1584712564945221,0.2,0.07353515625,0.8190584778785706,0.7598559856414795
6,3.8405661582946777,245760,2569,1,48.56,0.31201916257850826,0.006521916,140,0.0003,-0.0027784178950241768,-2.4212102022953332,0.12023984640836716,0.2,0.07222900390625,0.8092820644378662,0.7789402008056641
23,3.652153253555298,262144,1404,2,45.36,0.1836650184908649,0.0075361775,150,0.0003,-0.003960510608430922,-2.386812727805227,0.09509234130382538,0.2,0.0944091796875,0.7958723902702332,0.8089713454246521
39,3.438420295715332,278528,1232,3,38.5,0.18219834661576897,0.0067308014,160,0.0003,-0.0032361110145757268,-2.3666536130942406,0.06612766534090042,0.2,0.079931640625,0.7886525392532349,0.8141561150550842
55,3.6832385063171387,294912,1171,4,38.2,0.17315424822445494,0.0063942536,170,0.0003,-0.002604133185650426,-2.352000411786139,0.07263387739658356,0.2,0.079254150390625,0.7828404903411865,0.8126317858695984
73,3.932602882385254,311296,1118,5,29.74,0.17131271419639232,0.0068266923,180,0.0003,-0.0023358177450973016,-2.32387170009315,0.0720125138759613,0.2,0.080194091796875,0.7719506621360779,0.8129346966743469
89,3.657562255859375,327680,1103,6,28.16,0.16461676014296245,0.0071968525,190,0.0003,-0.0024765443794422027,-2.3144856370985507,0.08837597072124481,0.2,0.078961181640625,0.7687830924987793,0.8574358820915222
105,4.252376556396484,344064,1087,7,25.8,0.1762379594380036,0.007425089,200,0.0003,-0.003448495516022376,-2.2843911268748345,0.06243211776018143,0.2,0.090087890625,0.7595551013946533,0.8646164536476135
