time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/explained_variance,train/std
5,-4.305304527282715,16384,87.72,2788,1,,,,,,,,,,,
24,-4.140870571136475,32768,86.62,1339,2,0.0003,-0.007329418995141168,0.007953979,-2.815077419579029,0.2,0.04998502507805824,10,0.094757080078125,0.10869170020014281,-0.1904313564300537,0.985732913017273
41,-4.247656345367432,49152,85.88,1180,3,0.0003,-0.0017904629856275278,0.0038782442,-2.7867986457422376,0.2,0.10623449087142944,20,0.03201904296875,0.16152175013558007,0.052184104919433594,0.9717334508895874
58,-3.983201026916504,65536,80.48,1113,4,0.0003,-0.001601773262518691,0.0041538496,-2.763005402404815,0.2,0.07643476873636246,30,0.03204345703125,0.22715296595997642,0.0854189395904541,0.9597171545028687
77,-4.226995468139648,81920,86.98,1057,5,0.0003,-0.0017558679122885224,0.0048577655,-2.7330698942765594,0.2,0.14230862259864807,40,0.039764404296875,0.28541403169510887,0.052273690700531006,0.9447956681251526
94,-4.150800704956055,98304,82.3,1035,6,0.0003,-0.0016833266661706147,0.0041405195,-2.7128900460898877,0.2,0.27058565616607666,50,0.032415771484375,0.32129819330875764,0.05531817674636841,0.9388297200202942
112,-3.785675287246704,114688,83.12,1017,7,0.0003,-0.0018141767481210992,0.0044144504,-2.6935189853422346,0.2,0.17179332673549652,60,0.0371337890625,0.3444428202928975,0.04303443431854248,0.9287371039390564
130,-4.379042148590088,131072,87.94,1001,8,0.0003,-0.0018664401621208526,0.004545859,-2.6755988557823,0.2,0.14900077879428864,70,0.03592529296875,0.41878098393208346,0.05844491720199585,0.9215058088302612
