time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss
15,-9.42585563659668,8192,539,370.65,1,,,,,,,,,,
36,-9.065669059753418,16384,448,369.219512195122,2,0.009486572073637945,-1.3789743098430336,0.655045747756958,10,0.06151123046875,0.00553571991622448,0.2,0.0003,0.009007053,-0.0029213009425802738
58,-8.305700302124023,24576,420,357.86567164179104,3,0.014810510475217597,-1.3586547365412116,0.5534833669662476,20,0.16380615234375,0.016981450840830803,0.2,0.0003,0.011983338,-0.005599502369295806
80,-7.916572093963623,32768,407,362.75,4,0.024620314151798085,-1.3391402354463935,0.7515302896499634,30,0.10262451171875,0.004582712892442942,0.2,0.0003,0.009052459,-0.004280480423949485
101,-7.532038688659668,40960,403,359.26,5,0.013127162015825889,-1.3016540461219848,0.873779296875,40,0.11639404296875,-0.034731000661849976,0.2,0.0003,0.009185673,-0.005857502538128756
124,-7.434420108795166,49152,393,365.11,6,0.027071437389895436,-1.2902764630503953,0.7517760992050171,50,0.09464111328125,0.009788422845304012,0.2,0.0003,0.008987917,-0.0053093625467226955
146,-7.269979953765869,57344,391,373.53,7,0.031025316011618998,-1.3007017840631305,0.8686233758926392,60,0.14261474609375,0.01109408214688301,0.2,0.0003,0.0112482,-0.009931305198733753
168,-7.276607513427734,65536,388,378.94,8,0.017005569417415246,-1.2694998166523874,0.8560143709182739,70,0.1211181640625,0.035050325095653534,0.2,0.0003,0.009899339,-0.007753130212586256
190,-7.063121795654297,73728,386,390.12,9,0.02390260031170328,-1.2330736082047224,0.6649932861328125,80,0.12117919921875,0.005997151136398315,0.2,0.0003,0.010887567,-0.0061829359652620045
212,-6.861031532287598,81920,385,387.99,10,0.015076948008118051,-1.191770820878446,0.9088292121887207,90,0.079345703125,-0.002701973542571068,0.2,0.0003,0.007645584,-0.00361013202182221
235,-6.37136697769165,90112,382,387.44,11,0.02464599962131615,-1.1394533610902726,0.862755298614502,100,0.1095947265625,0.00533268041908741,0.2,0.0003,0.0108133275,-0.003518477711986634
257,-6.107543468475342,98304,382,387.44,12,0.020227682309814553,-1.0861985213588923,0.876965343952179,110,0.07645263671875,-0.009999963454902172,0.2,0.0003,0.007892905,-0.002946602353222261
280,-5.974812030792236,106496,379,384.26,13,0.018609690117955324,-1.0813332166988403,0.8602410554885864,120,0.066162109375,0.016013309359550476,0.2,0.0003,0.0065108994,-0.0018768410704069539
302,-5.908441543579102,114688,379,380.48,14,0.02690017739550967,-1.0874190606642515,0.7553540468215942,130,0.06123046875,0.03398001939058304,0.2,0.0003,0.0067755813,-0.003076174700072443
323,-5.757609844207764,122880,379,382.82,15,0.022343905596790135,-0.9686220626812428,0.7803181409835815,140,0.077197265625,-0.0039587258361279964,0.2,0.0003,0.0072951997,-0.0029728042405622545
346,-5.44368839263916,131072,377,376.07,16,0.014021419872278784,-0.7772482635919005,0.8954010009765625,150,0.04090576171875,-0.01321730762720108,0.2,0.0003,0.004075608,-0.0010907534937359743
368,-5.207131385803223,139264,378,365.49,17,0.028849733304559776,-0.9767750488128513,0.6293168663978577,160,0.0759521484375,0.006289043463766575,0.2,0.0003,0.005896392,-0.003118137004548771
391,-5.044915676116943,147456,376,361.59,18,0.020288245969095443,-0.8586639612913132,0.8391713500022888,170,0.0404296875,0.0027964189648628235,0.2,0.0003,0.0047103707,-0.000754607206908986
413,-5.144585609436035,155648,376,365.54,19,0.026650365827663336,-0.8124205094762147,0.7249718904495239,180,0.055810546875,0.0147281214594841,0.2,0.0003,0.005194219,-0.0007292721000339952
435,-5.066964626312256,163840,376,365.54,20,0.020376752999436577,-0.803362790774554,0.8463987708091736,190,0.0768310546875,0.023991264402866364,0.2,0.0003,0.0065562585,-0.0007830029415345052
457,-5.295846939086914,172032,375,369.2,21,0.017547801840009924,-0.7012422817759216,0.8503227233886719,200,0.037255859375,0.006685544736683369,0.2,0.0003,0.002802623,-0.0005901191180782917
479,-5.429731845855713,180224,376,380.0,22,0.02137185874616989,-0.7341169506777078,0.8610967993736267,210,0.06580810546875,1.7940998077392578e-05,0.2,0.0003,0.0063760276,-0.0023871422687079757
501,-5.527875900268555,188416,375,387.07,23,0.021031409032912052,-0.6948499468155205,0.8511005640029907,220,0.03839111328125,0.02043903060257435,0.2,0.0003,0.004032945,-0.0012129080891099876
523,-5.468080997467041,196608,375,387.07,24,0.014711985223402734,-0.6461815963033587,0.8874735832214355,230,0.05362548828125,-0.012210952118039131,0.2,0.0003,0.0029077032,-0.0009163828781311167
545,-5.455956935882568,204800,375,387.07,25,0.019745941242126717,-0.5974527290556579,0.8498082756996155,240,0.04990234375,-0.009969931095838547,0.2,0.0003,0.0060226424,-0.0015787816451847902
567,-5.3506035804748535,212992,375,389.86,26,0.014522117547585367,-0.5144455202855169,0.8779581785202026,250,0.04715576171875,-0.0025841500610113144,0.2,0.0003,0.0039467644,-0.0020048974279234244
589,-5.274484634399414,221184,375,389.86,27,0.021968282683701545,-0.6461621006019413,0.8135201930999756,260,0.0568115234375,-0.0078277001157403,0.2,0.0003,0.0049663456,-0.0012054755110511906
612,-5.225245952606201,229376,374,389.86,28,0.016532414115681605,-0.49076582768466326,0.8401113748550415,270,0.02952880859375,0.004054316319525242,0.2,0.0003,0.003407179,-0.0001319181194048724
633,-5.130534648895264,237568,374,386.25,29,0.017087088472817414,-0.48962174225598576,0.8580211997032166,280,0.03746337890625,-0.005353418178856373,0.2,0.0003,0.0037791315,0.00010962531177938217
657,-5.0258660316467285,245760,373,382.66,30,0.0153828012595568,-0.4360201133182272,0.8637285828590393,290,0.04420166015625,0.008184092119336128,0.2,0.0003,0.0034032206,-0.001822154463843617
679,-5.1008806228637695,253952,373,393.8,31,0.01783399053683752,-0.3452220251318067,0.815686047077179,300,0.03037109375,-0.0017270073294639587,0.2,0.0003,0.0024449555,-0.0009407495761479367
700,-5.074609279632568,262144,374,382.47,32,0.012917562370239466,-0.4662278090370819,0.8574171662330627,310,0.04278564453125,-0.007893185131251812,0.2,0.0003,0.010710338,-0.00261807748429419
723,-5.032011985778809,270336,373,378.6,33,0.018517554350091815,-0.37562075804453343,0.8348551392555237,320,0.04049072265625,0.011926687322556973,0.2,0.0003,0.0040274397,-0.0010414937893983734
745,-5.166833877563477,278528,373,375.26,34,0.017390949897981046,-0.3058987258817069,0.839844286441803,330,0.040087890625,0.03977697715163231,0.2,0.0003,0.0037629753,-0.001063174660794175
768,-5.1490044593811035,286720,373,374.97,35,0.02019629229216662,-0.2777393144206144,0.8338704109191895,340,0.02362060546875,0.016652606427669525,0.2,0.0003,0.0021183733,-2.4795437457214576e-05
789,-4.989632606506348,294912,373,371.5,36,0.01689710727378042,-0.2825221900362521,0.8044242262840271,350,0.02442626953125,0.00860205665230751,0.2,0.0003,0.001529062,-0.0008408078958382248
