rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates
-1.1202478408813477,8,915,1,8192,9.67,,,,,,,,,,
-1.1211342811584473,22,742,2,16384,10.12,0.011412224,-0.00702944266195118,0.02507074549794197,0.2,0.14151131529652047,-1.3750042184256017,-0.05619347095489502,0.0003,0.09822998046875,10
-0.9199607968330383,35,699,3,24576,7.53,0.014914804,-0.014328082728025038,0.07838961482048035,0.2,0.16887803525314665,-1.3542257349006832,-0.010929584503173828,0.0003,0.2511474609375,20
-0.8613161444664001,48,677,4,32768,6.44,0.014761828,-0.018556352041559875,0.07238411903381348,0.2,0.22491059130406937,-1.3024803798645734,0.07845079898834229,0.0003,0.284619140625,30
-0.8448549509048462,61,670,5,40960,5.49,0.015441294,-0.022346162451140118,0.10911450535058975,0.2,0.22833976054098457,-1.2289949697442353,0.13476169109344482,0.0003,0.30054931640625,40
-0.7636241912841797,73,667,6,49152,5.02,0.015641103,-0.023004903030232525,0.09612862020730972,0.2,0.2634204112866428,-1.1334352632053197,0.184231698513031,0.0003,0.27547607421875,50
-0.6125885844230652,85,668,7,57344,4.75,0.019759748,-0.023375285144356894,0.0854356437921524,0.2,0.2695593928336166,-1.0141945407260209,0.2482508420944214,0.0003,0.24761962890625,60
-0.5348316431045532,97,669,8,65536,4.54,0.018732052,-0.019654000745140364,0.10247977823019028,0.2,0.2767778724431992,-0.8988732759375125,0.3175727128982544,0.0003,0.17835693359375,70
-0.40477490425109863,110,666,9,73728,4.32,0.010987872,-0.01208082868688507,0.12116055935621262,0.2,0.29545832123840227,-0.8032355220988393,0.36332595348358154,0.0003,0.10679931640625,80
-0.4725826680660248,122,667,10,81920,4.05,0.009562934,-0.010152653611839924,0.17800936102867126,0.2,0.2901729490084108,-0.7305761696770787,0.40213125944137573,0.0003,0.09896240234375,90
-0.35532325506210327,134,669,11,90112,4.11,0.0077187307,-0.008207237080932827,0.1542716771364212,0.2,0.27213994165649635,-0.6642606092616916,0.4567100405693054,0.0003,0.0883056640625,100
-0.518057107925415,146,669,12,98304,4.08,0.00538671,-0.0068302388614029045,0.13994067907333374,0.2,0.26777233781758697,-0.6043683235766366,0.4856753349304199,0.0003,0.076220703125,110
-0.35518375039100647,158,670,13,106496,3.85,0.0054685064,-0.004742132420142297,0.13725049793720245,0.2,0.24890969344996847,-0.5555653861258179,0.5105857253074646,0.0003,0.06429443359375,120
-0.09550730884075165,171,668,14,114688,3.9,0.0055506285,-0.005030525293841492,0.0917292982339859,0.2,0.24986579528776928,-0.49642619462683796,0.5135235786437988,0.0003,0.06492919921875,130
-0.3134411573410034,183,669,15,122880,4.19,0.002564954,-0.0025661007248345413,0.11885219812393188,0.2,0.25576068348018455,-0.45307904076762495,0.5270798206329346,0.0003,0.0396240234375,140
-0.29438287019729614,195,669,16,131072,3.72,0.0032406417,-0.0016714692585082958,0.1136452853679657,0.2,0.253057155769784,-0.4244114196160808,0.5431540012359619,0.0003,0.04447021484375,150
-0.5557641386985779,208,669,17,139264,3.72,0.0038639267,-0.0019676972207889774,0.13988405466079712,0.2,0.2286051155126188,-0.3980350292054936,0.5879449844360352,0.0003,0.04180908203125,160
-0.31999075412750244,219,670,18,147456,4.16,0.0039300043,-0.001382684047712246,0.12436414510011673,0.2,0.23151495658094062,-0.3698145070113242,0.5795269012451172,0.0003,0.0378173828125,170
-0.26961299777030945,232,670,19,155648,4.06,0.0033326996,-0.0010608724725898356,0.12204273045063019,0.2,0.2449041818617843,-0.36064289048081266,0.5689671039581299,0.0003,0.03734130859375,180
-0.2866877615451813,244,670,20,163840,3.75,0.0031537816,-0.0012080355512807729,0.1624821126461029,0.2,0.22836445544380696,-0.3387159487698227,0.5756702423095703,0.0003,0.044287109375,190
-0.29808932542800903,256,671,21,172032,3.99,0.0037116564,-0.0009496452030361979,0.1358926147222519,0.2,0.22831533030257561,-0.32749435245059433,0.5864512920379639,0.0003,0.03453369140625,200
-0.3712772727012634,268,672,22,180224,3.8,0.0028308306,-0.0008760504160818527,0.0578705370426178,0.2,0.21209698804304936,-0.3098946657846682,0.6101292371749878,0.0003,0.03843994140625,210
-0.17794623970985413,279,673,23,188416,3.72,0.002391007,-0.001387963324850716,0.0729604959487915,0.2,0.21279591410420834,-0.291587602335494,0.6102977991104126,0.0003,0.03504638671875,220
-0.3698309361934662,291,673,24,196608,3.71,0.0035133422,-0.0003752416463612462,0.08540873229503632,0.2,0.2140234752674587,-0.2730337577406317,0.6147023439407349,0.0003,0.03985595703125,230
-0.35383057594299316,303,675,25,204800,3.88,0.003431137,-0.001130307658604579,0.10363814979791641,0.2,0.20361038875416854,-0.2674747019424103,0.6244549751281738,0.0003,0.038037109375,240
