timesteps,ep_return,ep_length
24,-1.0669878721237183,6
32,-1.2688173055648804,8
36,-1.0971100330352783,9
44,-1.0461353063583374,3
56,-1.1432969570159912,8
64,-1.062349796295166,7
72,-1.1354763507843018,7
84,-1.0576655864715576,5
100,1.0278481245040894,4
104,-0.923954963684082,8
108,-1.3300395011901855,13
120,-1.011765480041504,5
140,-1.0227583646774292,9
144,-1.0869171619415283,6
152,-1.047118902206421,3
152,-1.0,2
160,-1.331587553024292,13
160,-1.0,2
164,-1.0494590997695923,3
176,-0.9879639744758606,4
180,-1.08224356174469,5
196,0.9333048462867737,4
196,-1.197454810142517,8
240,-1.5380975008010864,16
244,-1.1319619417190552,12
264,-1.0611740350723267,6
280,-1.7768146991729736,21
284,-1.1309633255004883,5
292,-1.2548669576644897,12
296,-1.0441397428512573,3
308,-4.051982879638672,77
320,-0.8627917170524597,6
320,-0.9413729310035706,10
328,1.0,2
328,0.8888267278671265,5
344,-0.9342619776725769,4
348,-1.072750449180603,7
368,-1.1620473861694336,6
376,-0.9976276159286499,7
400,-1.1859116554260254,6
408,-1.2541437149047852,10
420,-1.888447642326355,32
432,-2.0186691284179688,26
432,-1.1406053304672241,8
436,-1.0692495107650757,7
436,-1.0574793815612793,4
460,-1.0010404586791992,7
460,-1.178910493850708,6
464,-1.169081449508667,8
468,-1.0,2
472,-1.139031171798706,9
476,-1.0113577842712402,4
492,-1.0862005949020386,4
500,-0.9173277020454407,7
500,-1.0,2
520,-1.1431829929351807,13
536,-0.9790384769439697,9
540,1.0504508018493652,5
548,1.0,2
556,-1.6340434551239014,23
560,-1.0377622842788696,3
568,-1.0,2
624,-1.2941758632659912,14
624,-1.538789987564087,17
640,-1.1010026931762695,4
652,-0.9750236868858337,3
656,-2.20231294631958,30
660,-2.2928624153137207,40
660,-1.3135840892791748,9
668,-1.1117308139801025,4
672,-0.9033580422401428,4
680,-0.8281388282775879,5
688,-0.9021855592727661,7
688,-1.076855182647705,4
704,-1.0851255655288696,4
708,-1.1712489128112793,7
716,-1.0,2
720,-1.175986886024475,8
744,-1.0269821882247925,6
748,-1.8236398696899414,20
756,-1.0477749109268188,3
756,-1.2745710611343384,10
760,-1.0450928211212158,3
768,-1.0,2
768,-1.515805721282959,16
768,-1.0429444313049316,3
780,-0.9557060599327087,3
792,-1.2880741357803345,9
796,-1.040968656539917,7
820,-1.20297372341156,7
824,-1.3785474300384521,14
844,-1.0678006410598755,6
852,-1.264883279800415,14
868,-0.940971314907074,4
868,-0.9548601508140564,6
884,-0.9304807782173157,4
888,-1.0211762189865112,5
912,-0.9636571407318115,6
912,-1.1010980606079102,7
924,-1.827370524406433,25
932,-1.0,2
936,-2.9104113578796387,39
944,-0.9800629615783691,8
944,-1.1886364221572876,8
964,-1.0193177461624146,5
972,-1.1388756036758423,10
988,-1.2099863290786743,11
1004,-1.3106391429901123,10
1008,-0.9413683414459229,5
1012,-1.3998055458068848,19
1024,-1.4729039669036865,13
1032,-1.0156677961349487,5
1040,-1.0,2
1040,-1.249340295791626,8
1044,-1.2381850481033325,10
1052,-1.0598796606063843,7
1056,-0.8942357301712036,4
1072,-1.2349971532821655,8
1076,-1.0637916326522827,6
1088,-1.0191400051116943,3
1100,-1.0468450784683228,3
1116,-1.246810793876648,11
1120,-1.4639328718185425,19
1132,-1.0477749109268188,3
1156,-1.4131484031677246,14
1156,-1.1772325038909912,6
1156,-1.756377935409546,25
1164,-1.1764764785766602,12
1188,-1.2771403789520264,8
1188,-1.1092698574066162,6
1192,-1.0962117910385132,9
1204,1.0802693367004395,4
1224,-1.079965353012085,8
1224,-1.1113643646240234,5
1224,-1.9486554861068726,17
1232,-1.0,2
1236,-1.04283607006073,3
1248,-0.9576815366744995,6
1256,-1.6351398229599,17
1264,-1.0,2
1264,-0.9953364133834839,7
1292,-1.2978100776672363,15
1292,-1.605224370956421,11
1292,-1.2246060371398926,7
1304,0.964625358581543,3
1312,-1.27439546585083,12
1316,-1.043256163597107,3
1316,-0.9491965174674988,6
1316,-1.198452115058899,6
1320,-1.0,2
1340,-1.107146978378296,6
1344,-1.2290258407592773,7
1352,-1.2439628839492798,9
1356,-1.023626446723938,9
1356,-1.0398962497711182,3
1360,-1.079039454460144,5
1368,-1.0,2
1376,-0.9940308928489685,5
1380,-0.9665746688842773,6
1384,-1.097225546836853,8
1392,-0.9576643109321594,4
1400,-1.2581720352172852,8
1404,1.0671104192733765,3
1408,-1.144721269607544,6
1416,-1.090104103088379,4
1432,-1.019843339920044,6
1460,-0.9508436918258667,7
1468,-1.4321433305740356,13
1480,-1.48361337184906,19
1500,-1.237828254699707,8
1500,-2.0108087062835693,30
1504,-1.0778706073760986,6
1528,-1.088490605354309,6
1532,-1.1751753091812134,8
1536,-1.0,2
1548,-1.0441397428512573,3
1548,-1.8418242931365967,22
1560,-0.914657473564148,3
1572,-1.1622068881988525,6
1588,-1.063438057899475,7
1600,-1.0401110649108887,3
1608,-1.1691877841949463,9
1616,-2.0332584381103516,29
1640,-1.8467090129852295,27
1640,-1.3208844661712646,10
1656,-1.078970193862915,4
1656,-1.381822109222412,12
1660,-1.0930237770080566,5
1668,-0.9562228322029114,3
1672,0.9726765751838684,4
1688,-1.0328278541564941,5
1692,-0.9118136167526245,5
1696,-1.2860987186431885,9
1708,-1.041045904159546,3
1708,-1.0079354047775269,4
1720,-1.047857642173767,3
1732,-2.176877021789551,29
1736,-1.218214511871338,12
1748,-1.3842668533325195,10
1756,-1.0952579975128174,6
1756,-1.3096979856491089,9
1764,-0.9291555285453796,4
1772,-1.0,2
1776,-1.036158800125122,10
1780,-1.1087042093276978,6
1780,-1.0654419660568237,6
1800,-1.1197445392608643,5
1800,-1.1275807619094849,7
1804,-0.7534939646720886,7
1808,-1.2206809520721436,7
1820,-1.1450339555740356,5
1828,-1.2446388006210327,7
1836,-1.0,2
1844,-1.0224246978759766,6
1856,-1.0318759679794312,5
1876,-0.9760888814926147,5
1892,-0.9188081622123718,4
1904,-2.056627035140991,24
1904,-1.015994906425476,3
1912,1.0,2
1916,-1.0397506952285767,3
1932,-1.815246820449829,22
1944,-1.0450928211212158,3
1948,-1.2449127435684204,8
1956,-0.889000415802002,3
1960,-0.9480192065238953,3
1972,-0.8131392002105713,4
1980,-1.1148771047592163,5
1984,-1.7842085361480713,18
2004,-1.1169065237045288,5
