timesteps,ep_return,ep_length
201,-0.47608256340026855,201
402,-0.4339774549007416,201
603,-0.485892653465271,201
804,-0.4732026159763336,201
1005,-0.4749211072921753,201
1206,-0.4985928237438202,201
1407,-0.4737115800380707,201
1608,-0.4646161198616028,201
1809,-0.4910956621170044,201
2010,-0.4539570212364197,201
2211,-0.4531550705432892,201
2412,-0.43144315481185913,201
2613,-0.4164416491985321,201
2814,-0.2890567183494568,201
3015,-0.3958369791507721,201
3216,-0.466391384601593,201
3417,-0.3194321393966675,201
3618,-0.39499330520629883,201
3819,-0.4723007380962372,201
4020,-0.3079798221588135,201
4221,-0.14135950803756714,201
4422,-0.04950999841094017,201
4623,-0.28592488169670105,201
4824,-0.12499505281448364,201
5025,-0.2727794349193573,201
5226,-0.42885109782218933,201
5427,-0.13537804782390594,201
5628,-0.30787062644958496,201
5829,-0.2054450511932373,201
6030,-0.10299744457006454,201
