rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates
-2.7575337886810303,1,8192,12,661,352.8181818181818,,,,,,,,,,
-2.4927175045013428,2,16384,28,565,334.69565217391306,0.1348388671875,0.2,0.01243146,0.04109429274467402,0.04397118091583252,0.004701197147369385,0.0003,-1.3744590419344604,-0.008172435257620236,10
-2.059079885482788,3,24576,45,543,299.6835443037975,0.21019287109375,0.2,0.013802,0.03328769539293717,-0.026692161336541176,0.3669447898864746,0.0003,-1.357065907306969,-0.011230550638356363,20
-1.1303194761276245,4,32768,61,529,202.74,0.18682861328125,0.2,0.014953043,0.02870193071648828,0.0054513830691576,0.5052582025527954,0.0003,-1.3352765274234115,-0.01205328797623224,30
-0.27491170167922974,5,40960,79,517,105.7,0.19317626953125,0.2,0.015372551,0.04228685795678757,0.027787363156676292,0.4992738366127014,0.0003,-1.2790478566661476,-0.01276857160282816,40
0.09805161505937576,6,49152,95,515,85.49,0.1436767578125,0.2,0.012288011,0.058197418804775226,0.024531109258532524,0.45327579975128174,0.0003,-1.1924343230202794,-0.008668626366306853,50
0.07444391399621964,7,57344,111,512,79.28,0.14266357421875,0.2,0.011797689,0.10007014661241556,0.03245588019490242,0.3787493109703064,0.0003,-1.1405837160535157,-0.007818023646723304,60
0.08856353908777237,8,65536,127,512,63.75,0.15177001953125,0.2,0.014316851,0.11167316447535995,0.04338816925883293,0.464985191822052,0.0003,-1.0961657893378287,-0.00859647943852906,70
0.21005424857139587,9,73728,144,510,68.15,0.10458984375,0.2,0.008603318,0.15386594335141127,0.07088235765695572,0.3802344799041748,0.0003,-1.0458357573486865,-0.006120535535046656,80
0.5404226183891296,10,81920,161,507,66.88,0.10986328125,0.2,0.010203057,0.13131318584200927,0.026496045291423798,0.5182233452796936,0.0003,-0.9669025326147676,-0.004120572875399376,90
0.8805909752845764,11,90112,177,507,61.01,0.0986083984375,0.2,0.010140728,0.1877901903935708,0.08156688511371613,0.44122016429901123,0.0003,-0.9214440692216158,-0.008530471743688395,100
1.2761024236679077,12,98304,193,508,56.03,0.0892333984375,0.2,0.009342783,0.28240440298686736,0.14837631583213806,0.3732385039329529,0.0003,-0.8952667380217463,-0.005113837720091397,110
1.389843463897705,13,106496,209,507,56.4,0.0745849609375,0.2,0.009223752,0.27857398128835487,0.20082832872867584,0.3791666030883789,0.0003,-0.8352193771861494,-0.003295633162269951,120
1.4067001342773438,14,114688,226,506,62.73,0.09658203125,0.2,0.007499085,0.27313422424485906,0.11481538414955139,0.4117623567581177,0.0003,-0.7597011468373239,-0.00635875133857553,130
1.4239201545715332,15,122880,244,502,52.44,0.07657470703125,0.2,0.010029595,0.3002006223250646,0.09917408227920532,0.4221026301383972,0.0003,-0.793965086620301,-0.0047224877020198616,140
1.597592830657959,16,131072,260,503,53.54,0.06705322265625,0.2,0.00589938,0.30090044827666135,0.14665067195892334,0.48081308603286743,0.0003,-0.7359635815490038,-0.004327070748513506,150
1.2388836145401,17,139264,276,503,52.11,0.0693359375,0.2,0.0062045106,0.29233304389053955,0.22146855294704437,0.4530887007713318,0.0003,-0.6890464125666768,-0.0021597714128802183,160
1.7113754749298096,18,147456,293,503,50.84,0.085791015625,0.2,0.00734575,0.34877572222612796,0.12942126393318176,0.4557923674583435,0.0003,-0.6818943352904171,-0.004567835554007615,170
1.897911548614502,19,155648,309,502,50.72,0.07373046875,0.2,0.006184566,0.3329453247715719,0.13607360422611237,0.47251826524734497,0.0003,-0.6407426985679194,-0.004447308459202759,180
2.254457473754883,20,163840,326,501,50.71,0.0714111328125,0.2,0.0058613494,0.3438878061599098,0.18268649280071259,0.5170197486877441,0.0003,-0.6002071361290291,-0.0028471529423768514,190
2.082167148590088,21,172032,342,501,50.17,0.06500244140625,0.2,0.0054144403,0.2626407045405358,0.061748988926410675,0.5341628789901733,0.0003,-0.6089172495296225,-0.0030723505495188876,200
2.3598482608795166,22,180224,358,502,52.12,0.06015625,0.2,0.0052167303,0.3271772018983029,0.10169190168380737,0.4435809254646301,0.0003,-0.5840956173604355,-0.0008559813089959789,210
2.3876876831054688,23,188416,375,502,52.87,0.07752685546875,0.2,0.005737531,0.2624643813178409,0.16556134819984436,0.5430718660354614,0.0003,-0.586137421708554,-0.003266777929275122,220
2.3873326778411865,24,196608,392,500,50.85,0.07303466796875,0.2,0.0060322317,0.3180434708541725,0.14650486409664154,0.4990648031234741,0.0003,-0.5925418267492205,-0.002045743173039227,230
2.6540915966033936,25,204800,410,499,52.02,0.06884765625,0.2,0.0056718625,0.299148530542152,0.12968865036964417,0.42492514848709106,0.0003,-0.5532463411334902,-0.0028837427202233813,240
2.813629150390625,26,212992,426,499,54.84,0.05966796875,0.2,0.0059356345,0.25459288044366984,0.11173718422651291,0.5000638961791992,0.0003,-0.5525134521536529,-0.0009745232080604182,250
2.501072883605957,27,221184,443,499,48.37,0.06885986328125,0.2,0.006738399,0.22632698985980823,0.11118558794260025,0.6063214540481567,0.0003,-0.5257955675944685,-0.000576930977513257,260
2.8611481189727783,28,229376,459,498,55.41,0.07774658203125,0.2,0.005184891,0.3291697791428305,0.2305808812379837,0.45823729038238525,0.0003,-0.5157269022194668,-0.0018345428437896772,270
