timesteps,ep_return,ep_length
402,-0.5281378030776978,201
402,-0.5281378030776978,201
804,0.34866762161254883,201
804,0.34866762161254883,201
1206,-0.4143097400665283,201
1206,-0.4143097400665283,201
1608,-0.3541552424430847,201
1608,-0.3541552424430847,201
2010,-0.7854987382888794,201
2010,-0.7854987382888794,201
2412,-0.3463475704193115,201
2412,-0.3463475704193115,201
2814,0.0028680814430117607,201
2814,0.0028680814430117607,201
3216,-0.1798647940158844,201
3216,-0.1798647940158844,201
3618,0.17790062725543976,201
3618,0.17790062725543976,201
4020,-0.42141008377075195,201
4020,-0.42141008377075195,201
4422,-0.5405790209770203,201
4422,-0.5405790209770203,201
4824,-0.3158889412879944,201
4824,-0.3158889412879944,201
5226,-0.017009254544973373,201
5226,-0.017009254544973373,201
5628,-0.7135671973228455,201
5628,-0.7135671973228455,201
6030,-0.7234845161437988,201
6030,-0.7234845161437988,201
6432,0.04409828782081604,201
6432,0.04409828782081604,201
6834,-0.48991501331329346,201
6834,-0.48991501331329346,201
7236,-0.21029320359230042,201
7236,-0.21029320359230042,201
7638,-0.7375665903091431,201
7638,-0.7375665903091431,201
8040,0.08966326713562012,201
8040,0.08966326713562012,201
