timesteps,ep_return,ep_length
404,-4.88461446762085,101
404,-3.8414642810821533,101
404,-4.180661678314209,101
404,-4.601655960083008,101
492,-1.8713383674621582,22
808,-5.947715759277344,101
808,-4.160709857940674,101
808,-4.446900367736816,101
896,-4.413700103759766,101
988,-2.9143147468566895,45
1212,-4.289834499359131,101
1212,-5.164545059204102,101
1300,-4.429018020629883,101
1392,-3.5296192169189453,101
1504,-2.2621986865997314,28
1616,-4.562658786773682,101
1616,-3.5223042964935303,101
1704,-4.508557319641113,101
1732,-3.5688343048095703,57
1924,-3.3482167720794678,48
2020,-3.5021004676818848,101
2020,-4.472638130187988,101
2056,-2.5206527709960938,33
2072,-1.3685460090637207,13
2108,-4.481674671173096,101
2148,-1.6566828489303589,19
2188,-2.6378607749938965,42
2240,-2.4389193058013916,33
2308,-1.7980897426605225,17
2460,-4.959780693054199,101
2552,-4.200499534606934,101
2576,-5.485387802124023,97
2648,-1.65566086769104,24
2660,-2.2780539989471436,88
2864,-4.556362628936768,101
2868,-3.5585381984710693,52
2956,-1.8570069074630737,22
2980,-3.5363385677337646,101
3052,-3.709657669067383,101
3268,-4.3048624992370605,101
3360,-4.005882740020752,101
3384,-4.524293422698975,101
3456,-3.9843428134918213,101
3528,-3.684927463531494,65
3572,-2.223673105239868,29
3620,-2.022998809814453,23
3764,-4.767313003540039,101
3788,-4.115880012512207,101
3832,-1.4279696941375732,11
3908,-2.2500171661376953,36
3940,-2.0268568992614746,27
3976,-5.006954669952393,101
4024,-4.8017897605896,101
4044,-1.7767448425292969,17
4144,-3.532238483428955,59
4220,-3.838637351989746,70
4324,-4.174164772033691,75
4376,-2.596482515335083,39
4420,-1.3780059814453125,11
4448,-4.851972579956055,101
4492,-3.0196452140808105,42
4524,-5.551441192626953,95
4668,-2.6582565307617188,44
4668,-3.2817254066467285,55
4824,-5.077638149261475,101
4860,-2.9419517517089844,48
4928,-4.314873218536377,101
5036,-3.0990779399871826,53
5044,-4.922579765319824,94
5148,-2.2261528968811035,28
5224,-3.082007884979248,45
5264,-5.0175251960754395,101
5332,-3.1847128868103027,101
5380,-2.667908191680908,39
5480,-2.4747347831726074,37
5552,-4.6645355224609375,101
5668,-3.568969488143921,101
5676,-2.7672977447509766,49
5740,-1.5728663206100464,16
5740,-1.7549341917037964,18
5772,-2.8985917568206787,55
5784,-4.277101993560791,101
5924,-2.5781307220458984,38
5972,-3.161527395248413,47
6084,-2.0343732833862305,28
6084,-2.5960283279418945,40
6144,-4.013191223144531,101
6144,-4.533511161804199,101
6184,-1.408402442932129,10
6248,-2.702971935272217,41
6312,-2.8747754096984863,42
6416,-0.6843791007995605,42
6488,-4.503958225250244,101
6588,-4.871732711791992,101
6640,-1.4804325103759766,13
6700,-1.9305062294006348,71
6716,-4.4458208084106445,101
6784,-2.4960310459136963,36
6864,-1.913590908050537,20
6892,-4.598917007446289,101
6984,-2.2242250442504883,30
7104,-2.8528835773468018,101
7120,-4.8509650230407715,101
7216,-2.0704782009124756,28
7296,-4.589008808135986,101
7388,-4.723123550415039,101
7392,-2.018925189971924,24
7448,-1.1642165184020996,58
7524,-4.616982936859131,101
7540,-2.4666974544525146,37
7596,-1.8003854751586914,18
7792,-3.459937572479248,101
7844,-1.3633124828338623,13
7852,-3.8628764152526855,101
7944,-4.06821346282959,101
8000,-3.4712584018707275,101
8248,-4.579761505126953,101
8256,-3.885969638824463,101
8308,-1.7096312046051025,15
8348,-4.14241361618042,101
8404,-4.222689628601074,101
8660,-3.4770216941833496,101
8712,-4.252645015716553,101
8752,-4.539221286773682,101
8808,-4.572259902954102,101
8820,-1.6997876167297363,17
8888,-2.962925434112549,44
8956,-2.41430926322937,34
8984,-1.9268618822097778,24
9064,-4.465821743011475,101
9124,-2.9423699378967285,42
9212,-4.207648754119873,101
9344,-3.7295081615448,70
9352,-3.608400821685791,57
9376,-2.901552200317383,41
9388,-4.267135143280029,101
9484,-2.4662556648254395,35
9756,-3.5434114933013916,101
9780,-4.04014778137207,101
9792,-4.51607084274292,101
9888,-4.136560440063477,101
9996,-3.0939128398895264,54
10024,-3.440967321395874,58
10060,-1.336920976638794,9
10160,-4.688610553741455,101
10256,-1.95647394657135,24
10268,-5.3549065589904785,95
10348,-1.8630812168121338,23
10400,-3.75962495803833,101
10464,-3.4813284873962402,101
10672,-4.374577522277832,101
10752,-4.002872467041016,101
10804,-4.687020301818848,101
10868,-3.114276885986328,101
11076,-5.020237922668457,101
11156,-4.653331279754639,101
11208,-4.04250955581665,101
11272,-4.261046409606934,101
11304,-2.547024726867676,37
11440,-2.5197463035583496,42
11480,-4.364625453948975,101
11612,-4.388731956481934,101
11708,-3.8745038509368896,101
11844,-3.6379079818725586,101
11884,-4.640049934387207,101
12016,-4.550393104553223,101
12112,-3.6495699882507324,101
12248,-3.700640916824341,101
12288,-4.379678249359131,101
12388,-2.2012672424316406,35
12420,-4.1138081550598145,101
12516,-3.8823041915893555,101
12612,-3.5586318969726562,56
12692,-3.813483476638794,101
12800,-5.404842853546143,95
12920,-3.9017932415008545,101
12988,-1.6398282051086426,17
12996,-3.154801845550537,49
13016,-4.315876007080078,101
13068,-1.4519577026367188,13
13096,-3.6607794761657715,101
13352,-3.788503646850586,64
13392,-4.142040252685547,101
13400,-4.517310619354248,101
13400,-1.5051488876342773,12
13472,-3.627277374267578,101
13568,-2.742102861404419,42
13744,-2.4001266956329346,86
13796,-4.563974857330322,101
13876,-3.856590986251831,101
13972,-4.006645679473877,101
14096,0.15050333738327026,31
14148,-4.5386247634887695,101
14200,-4.218069076538086,101
14232,-2.286707878112793,34
14280,-4.4296159744262695,101
14436,-2.8831429481506348,51
14552,-4.1250200271606445,101
14604,-4.281628131866455,101
14684,-4.882553577423096,101
14840,-3.6011898517608643,101
14920,-1.791157603263855,20
14956,-3.3908209800720215,101
15008,-3.7463467121124268,101
15016,-1.5168324708938599,15
15088,-4.378828048706055,101
15208,-3.195277214050293,48
15288,-1.7717229127883911,20
15324,-3.580719232559204,101
15412,-3.597163438796997,101
15492,-4.282712936401367,101
15588,-1.9341039657592773,75
15644,-1.5566463470458984,14
15728,-4.553149700164795,101
15816,-3.842864751815796,101
15896,-4.101558208465576,101
15980,-4.855922698974609,84
16132,-4.276125431060791,101
16220,-4.556788444519043,101
16300,-3.3685193061828613,101
16384,-3.8270621299743652,101
16456,-4.256959915161133,81
16624,-4.290597915649414,101
16704,-4.629997253417969,101
16788,-4.100330829620361,101
16860,-3.538760185241699,101
17028,-4.058537006378174,101
17108,-3.5729894638061523,101
17192,-3.482074022293091,101
17248,-3.1334521770477295,55
17264,-4.199899673461914,101
17512,-4.243167877197266,101
17596,-3.844944715499878,101
17648,-1.4418821334838867,13
17652,-3.7273213863372803,101
17668,-3.822842597961426,101
17876,-3.339543104171753,57
17916,-3.923779010772705,101
17976,-1.6018569469451904,15
18056,-3.9965832233428955,101
18072,-4.053946018218994,101
18132,-3.7944319248199463,64
18380,-4.138304233551025,101
18456,-1.7251124382019043,19
18460,-3.73787784576416,101
18476,-4.685784816741943,101
18536,-4.137789249420166,101
18572,-2.165262460708618,28
18628,-2.4251270294189453,38
18740,-2.7948789596557617,51
18860,-3.719144105911255,101
18976,-3.6995627880096436,101
19032,-3.937802314758301,101
19144,-4.095978736877441,101
19196,-1.419075846672058,13
19256,-1.4917654991149902,15
19264,-4.075413227081299,101
19380,-4.371393203735352,101
19436,-4.489633083343506,101
19472,-1.781458854675293,23
19660,-3.5958809852600098,101
19668,-4.068345069885254,101
19796,-2.236084222793579,32
19808,-2.513645887374878,37
19840,-4.339735507965088,101
19876,-4.292057991027832,101
20200,-4.907303810119629,101
20212,-4.098420143127441,101
20244,-4.091006278991699,101
20280,-4.317131996154785,101
20428,-2.3183412551879883,37
20604,-3.4607934951782227,101
20616,-3.7903246879577637,101
20648,-3.2151660919189453,101
20832,-3.751612424850464,101
20848,-2.8179759979248047,50
20920,-1.823176383972168,22
21008,-4.20006799697876,101
21020,-3.04559063911438,101
21176,-2.7477478981018066,39
21252,-3.4707932472229004,101
21324,-3.333998918533325,101
21412,-3.1501448154449463,101
21580,-4.594121932983398,101
21656,-3.9427683353424072,101
21664,-1.7926318645477295,21
21728,-4.186583995819092,101
21816,-4.052238464355469,101
21984,-0.5279020071029663,42
22060,-4.505625247955322,101
22068,-4.383389949798584,101
22132,-4.411506652832031,101
22388,-4.003925323486328,101
22464,-3.1518425941467285,101
22472,-4.103115081787109,101
22536,-3.6417832374572754,101
22588,-1.420292615890503,13
22792,-3.758244037628174,101
22868,-4.038577556610107,101
22876,-3.940617084503174,101
22960,-2.4957385063171387,42
22992,-4.184571743011475,101
23040,-2.4642934799194336,41
23272,-3.745107889175415,101
23364,-3.841883659362793,101
23364,-1.7965716123580933,23
23396,-3.6788036823272705,101
23444,-3.664076805114746,101
23768,-4.26061487197876,101
23768,-3.4165380001068115,101
23800,-3.9207043647766113,101
23848,-3.97654128074646,101
23852,-1.4425888061523438,13
23928,-1.8459583520889282,20
24028,-1.9325268268585205,25
24172,-4.614914417266846,101
