time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/std,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates
1,429,19,65.02,-3.243746757507324,8192,,,,,,,,,,,
2,365,44,79.3,-3.555239677429199,16384,-2.838466956280172,-0.01196874488305184,0.05448727408074774,-0.010028406977653503,0.2,0.9989191293716431,0.009505702,0.0003,0.1343505859375,-0.09905064105987549,10
3,344,71,81.15,-3.451148748397827,24576,-2.7947398487478496,-0.008349390723014948,0.052249507752276256,0.014292452484369278,0.2,0.9716634154319763,0.009537922,0.0003,0.10650634765625,0.326153039932251,20
4,334,97,84.79,-3.5350112915039062,32768,-2.7661446925252675,-0.004033650376004516,0.04901156186388107,0.003958758898079395,0.2,0.9603407382965088,0.0060380353,0.0003,0.06817626953125,0.6389169692993164,30
5,327,125,87.3,-3.53318452835083,40960,-2.7324180932715536,-0.005194406399823492,0.06082013508421369,0.022424541413784027,0.2,0.9434887170791626,0.0076717576,0.0003,0.0828369140625,0.7319977283477783,40
6,323,152,86.81,-3.467846155166626,49152,-2.7029280671849847,-0.0038659279241983315,0.07550757214194163,0.08983317762613297,0.2,0.9318044185638428,0.0068827504,0.0003,0.07314453125,0.7557204961776733,50
7,320,178,85.59,-3.373922348022461,57344,-2.681269657239318,-0.0065405559860664654,0.06823867332132068,-0.0014664437621831894,0.2,0.9216549396514893,0.006977763,0.0003,0.09288330078125,0.7762694358825684,60
8,318,205,86.05,-3.3038511276245117,65536,-2.6429560681805015,-0.003471666475161328,0.083973143788171,0.04664194583892822,0.2,0.8982491493225098,0.0073682116,0.0003,0.06663818359375,0.7493295669555664,70
9,317,232,86.26,-3.1686792373657227,73728,-2.5968297075480224,-0.0025439513934543355,0.08110298921674257,0.0068967039696872234,0.2,0.8812338709831238,0.006833445,0.0003,0.066455078125,0.7748468518257141,80
10,316,258,85.65,-3.2934677600860596,81920,-2.5428183443844317,-0.004227324882231187,0.08963407576375175,0.027636617422103882,0.2,0.8546903133392334,0.007567105,0.0003,0.0748779296875,0.7401168346405029,90
11,315,285,86.75,-3.3490707874298096,90112,-2.4842520931735637,-0.0025064096738788067,0.07104281603242271,0.008591100573539734,0.2,0.8299623727798462,0.0075695775,0.0003,0.0699462890625,0.7740941643714905,100
12,314,312,87.99,-3.36484956741333,98304,-2.42405807916075,-0.00188451906942646,0.06692934061356937,-0.015003221109509468,0.2,0.8048046827316284,0.0068188673,0.0003,0.05897216796875,0.8019089698791504,110
13,313,339,84.05,-3.2093517780303955,106496,-2.3768488973379136,-0.0018197854096797528,0.06088070893820259,0.03411577641963959,0.2,0.7903774976730347,0.006229055,0.0003,0.06519775390625,0.8312787413597107,120
14,313,366,84.77,-3.286425828933716,114688,-2.358730203658342,-0.003613691355712945,0.07808033429973875,0.044772788882255554,0.2,0.7859386205673218,0.0053939363,0.0003,0.07069091796875,0.7816729545593262,130
15,312,392,88.87,-3.3494162559509277,122880,-2.3274806095287204,-0.0027249182927334913,0.0620594673215237,0.027230296283960342,0.2,0.7697921991348267,0.007944951,0.0003,0.06962890625,0.825626015663147,140
16,312,419,76.66,-2.9611761569976807,131072,-2.295282606408,-0.0025149495970254064,0.06922743786853972,0.014015775173902512,0.2,0.7590136528015137,0.006785914,0.0003,0.0724853515625,0.8087407350540161,150
17,311,447,79.68,-2.9992189407348633,139264,-2.245923414826393,-0.0012685411202255636,0.1045977460235008,0.044957369565963745,0.2,0.7360193729400635,0.007568044,0.0003,0.0640625,0.731050968170166,160
18,311,473,84.6,-3.101762294769287,147456,-2.177790471538901,-0.0014997248363215476,0.0959610803227406,0.04070470482110977,0.2,0.7118013501167297,0.006625097,0.0003,0.06802978515625,0.7296155691146851,170
19,310,500,79.36,-2.950004816055298,155648,-2.151289651170373,-0.0028638176538152036,0.10084060930239502,0.02246173471212387,0.2,0.7091156840324402,0.0062897727,0.0003,0.07298583984375,0.7484891414642334,180
20,310,527,79.22,-3.0847887992858887,163840,-2.1106462985277177,-0.002019537965315976,0.08988449897587998,0.06986015290021896,0.2,0.6888790726661682,0.0071924524,0.0003,0.0751953125,0.7690648436546326,190
21,310,553,84.84,-3.145265817642212,172032,-2.077550629526377,-0.001794120728300186,0.08278154918225482,0.02191486395895481,0.2,0.6802245378494263,0.0069338446,0.0003,0.0759033203125,0.7517895102500916,200
22,310,580,83.11,-3.117280960083008,180224,-2.0344476217404006,-0.002428242350651999,0.07167315756742028,0.033490702509880066,0.2,0.665278971195221,0.007927904,0.0003,0.0888916015625,0.7645388245582581,210
23,310,606,78.74,-3.1250200271606445,188416,-1.9778309703804553,-0.0012648656709643546,0.07629912344200421,0.018800988793373108,0.2,0.6438645124435425,0.00837617,0.0003,0.07861328125,0.7574734091758728,220
24,310,633,79.13,-2.9023613929748535,196608,-1.9408632149919867,-0.001145256610834622,0.07152930044394452,0.019074739888310432,0.2,0.6363939046859741,0.006273351,0.0003,0.06923828125,0.7794780135154724,230
25,310,660,79.41,-3.032560348510742,204800,-1.9069127898663283,-0.0015637054089893353,0.10260263427044265,0.006368165835738182,0.2,0.6229418516159058,0.0072153555,0.0003,0.08167724609375,0.6963948607444763,240
