time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/std,train/value_loss
2729,-2.314979314804077,1,6,16384,48.2,,,,,,,,,,,
1281,-2.5011675357818604,2,25,32768,50.36,0.2,-2.8311919091269373,10,-0.36773455142974854,0.050311279296875,0.004882406,-0.0036497888802841773,0.05086145177483559,0.0003,0.9960258603096008,0.10252692550566281
1127,-2.0647780895233154,3,43,49152,48.38,0.2,-2.803363886848092,20,0.04776877164840698,0.055712890625,0.005736986,-0.003943295624048914,0.04195963218808174,0.0003,0.9806986451148987,0.1602451743747224
1053,-1.9415252208709717,4,62,65536,46.3,0.2,-2.767183262016624,30,0.04765242338180542,0.045111083984375,0.0051307427,-0.0028470006735005883,0.11407209187746048,0.0003,0.9626154899597168,0.25778359892719893
1015,-1.924168348312378,5,80,81920,42.38,0.2,-2.721562346816063,40,0.033186137676239014,0.04737548828125,0.0057218075,-0.0027060542704930414,0.15644526481628418,0.0003,0.9387301802635193,0.2925802610698156
997,-1.9845117330551147,6,98,98304,44.44,0.2,-2.692953500337899,50,0.05882763862609863,0.040435791015625,0.004356544,-0.001652080789426691,0.0882791131734848,0.0003,0.9296044111251831,0.3015367426414741
975,-1.7490402460098267,7,117,114688,40.78,0.2,-2.674852315057069,60,0.06918543577194214,0.039263916015625,0.004110668,-0.002029412574665912,0.18357539176940918,0.0003,0.9208811521530151,0.3233967587992083
966,-1.8002960681915283,8,135,131072,42.04,0.2,-2.649817635025829,70,0.07595592737197876,0.0406494140625,0.004520649,-0.0014862635731333284,0.1401187926530838,0.0003,0.9084584712982178,0.34076046242262237
